중소벤처기업연구원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,," 1: 공공누리 1유형, 2: 공공누리 2유형, 3:공공누리 3유형, 4:공공누리4유형",,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일/발행년도,연구책임자/작성자/발행기관,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고,비고
88,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제88호(2017.1.19),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
89,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제89호(2017.2.13),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
90,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제90호(2017.2.20),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
91,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제91호(2017.03.13),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
92,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제92호(2017.03.29),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
93,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제93호(2017.04.11),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
94,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제94호(2017.05.10),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
95,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제95호(2017.05.16),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
96,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제96호(2017.06.02),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
97,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제97호(2017.06.15),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
