국립무형유산원 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
84,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,무형문화재 전수교육 전문가 과정 교육 안내,,2015-04-08 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
85,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,무형유산 아카데미-무형유산을 말하다-,,2015-04-09 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
86,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015년 국립무형유산원 무형유산 체험교육 안내 (주말 / 주중),,2015-04-17 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
87,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,무형유산 지도자 양성과정 교육 안내,,2015-04-17 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
88,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,「2015년 전통공예 아카데미」교육대상자 발표,,2015-04-21 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
89,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국유재산 유상사용 수익허가 입찰 공고,,2015-04-22 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
90,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,무형문화재 전수교육 전문가 과정 교육 대상자 알림,,2015-04-22 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
91,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015년 「무형유산 지도자 양성 과정」교육 대상자 선정 발표,,2015-05-01 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
92,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국유재산 유상사용 수익허가 입찰 재공고,,2015-05-04 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
93,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,대학연계 중요무형문화재 제48호 단청장 교육 참가신청 안내,,2015-05-04 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
